Date,PM2.5,PM10,NO2,SO2,O3,AQI
2025-12-31,91.45,113.8,34.666666666666664,11.75,27.433333333333334,179.6
2026-01-01,30.45,65.4,23.2,11.05,14.866666666666667,61.43333333333334
2026-01-02,37.8,124.0,18.6,10.95,21.933333333333334,96.63333333333333
2026-01-03,39.25,165.10000000000002,22.366666666666664,11.2,18.33333333333333,116.56666666666668
2026-01-04,37.8,146.45,17.933333333333334,11.15,18.53333333333333,106.66666666666669
2026-01-05,35.05,142.6,23.3,11.3,21.933333333333334,102.06666666666666
2026-01-06,32.5,148.75,22.5,11.55,23.3,102.03333333333332
2026-01-07,50.45,164.10000000000002,41.6,12.25,31.266666666666666,125.06666666666666
2026-01-08,46.05,144.4,46.7,12.45,25.96666666666667,123.1
2026-01-09,41.3,157.6,42.2,12.05,40.23333333333333,126.63333333333333
2026-01-10,37.8,127.25,40.23333333333333,12.4,39.53333333333333,98.36666666666667
2026-01-11,42.885,130.45,39.44666666666666,12.22,36.45,106.54666666666668
2026-01-12,47.97,133.65,38.66,12.04,33.36666666666667,114.72666666666667
2026-01-13,53.055,136.85,37.87333333333333,11.86,30.28333333333333,122.90666666666668
2026-08-02,268.4,160.75,7.725,6.08,9.666666666666666,18.0
2026-08-03,268.4,160.75,7.725,6.08,9.666666666666666,18.0
2026-08-04,268.4,160.75,7.725,6.08,9.666666666666666,18.0
2026-08-05,268.4,160.75,7.725,6.08,9.666666666666666,18.0
2026-08-06,268.4,160.75,7.725,6.08,9.666666666666666,18.0
2026-08-07,268.4,160.75,7.725,6.08,9.666666666666666,18.0
2026-08-08,268.4,160.75,7.725,6.08,9.666666666666666,18.0
2026-08-09,268.4,160.75,7.725,6.08,9.666666666666666,18.0
2026-08-10,268.4,160.75,7.725,6.08,9.666666666666666,268.4
2026-08-11,129.0,59.0,6.1,16.2,6.3,129.0
2026-08-12,163.0,91.0,7.3,16.6,5.2,163.0
2026-08-13,24.5,9.1,0.0,0.1,15.9,24.5
2026-08-14,19.0,6.9,0.0,0.1,22.0,22.0
2026-08-15,18.6,6.2,0.0,0.1,19.1,19.1
