Date,PM2.5,PM10,NO2,SO2,O3,AQI,source,data_type,timestamp,station_count,freshness_hours,confidence
2026-08-09,268.4,160.75,7.725,6.08,9.666666666666666,268.4,historical_migrated,observed,2026-08-09,,,
2026-08-10,268.4,160.75,7.725,6.08,9.666666666666666,268.4,historical_migrated,observed,2026-08-10,,,
2026-08-11,129.0,59.0,6.1,16.2,6.3,129.0,historical_migrated,observed,2026-08-11,,,
2026-08-12,163.0,91.0,7.3,16.6,5.2,163.0,historical_migrated,observed,2026-08-12,,,
2026-08-13,24.5,9.1,0.0,0.1,15.9,24.5,historical_migrated,observed,2026-08-13,,,
2026-08-14,19.0,6.9,0.0,0.1,22.0,22.0,historical_migrated,observed,2026-08-14,,,
2026-08-15,18.6,6.2,0.0,0.1,19.1,19.1,historical_migrated,observed,2026-08-15,,,
2026-08-16,13.7,7.0,0.0,0.1,21.7,21.7,historical_migrated,observed,2026-08-16,,,
2026-08-17,20.3,11.2,0.0,0.1,19.6,20.3,historical_migrated,observed,2026-08-17,,,
2026-08-18,28.2,8.9,0.0,0.1,13.6,28.2,historical_migrated,observed,2026-08-18,,,
2026-08-19,28.7,11.5,0.0,0.2,13.5,28.7,historical_migrated,observed,2026-08-19,,,
2026-08-20,18.7,9.1,0.0,0.1,15.3,18.7,historical_migrated,observed,2026-08-20,,,
2026-08-21,21.0,11.0,0.0,0.1,15.8,21.0,historical_migrated,observed,2026-08-21,,,
2026-08-22,27.7,10.7,0.0,0.1,18.4,27.7,historical_migrated,observed,2026-08-22,,,
2026-08-23,40.6,16.8,0.0,0.1,14.5,40.6,historical_migrated,observed,2026-08-23,,,
2026-08-24,33.2,12.0,0.0,0.1,15.5,33.2,historical_migrated,observed,2026-08-24,,,
2026-08-25,32.0,10.3,0.1,0.2,15.3,32.0,historical_migrated,observed,2026-08-25,,,
2026-08-26,37.7,13.0,0.0,0.2,19.1,37.7,historical_migrated,observed,2026-08-26,,,
2026-08-27,27.6,13.2,0.0,0.1,17.8,27.6,historical_migrated,observed,2026-08-27,,,
2026-08-28,21.0,10.2,0.0,0.1,16.1,21.0,historical_migrated,observed,2026-08-28,,,
2026-08-29,15.4,8.5,0.0,0.1,15.7,15.7,historical_migrated,observed,2026-08-29,,,
2026-08-30,18.9,10.0,0.0,0.1,15.8,18.9,historical_migrated,observed,2026-08-30,,,
2026-08-31,16.6,7.4,0.0,0.1,13.5,16.6,historical_migrated,observed,2026-08-31,,,
2026-09-01,19.5,8.1,0.0,0.2,13.2,19.5,historical_migrated,observed,2026-09-01,,,
2026-09-02,16.3,5.7,0.0,0.2,14.6,16.3,historical_migrated,observed,2026-09-02,,,
2026-09-03,19.0,39.0,13.0,6.0,10.0,39.0,cpcb,ground_station,2026-09-03T07:30:00+00:00,24.0,1.21,0.95
2026-09-04,21.0,40.0,12.5,5.0,13.0,40.0,cpcb,ground_station,2026-09-04T07:30:00+00:00,24.0,0.62,0.95
2026-09-05,20.0,39.0,11.5,5.0,13.0,39.0,cpcb,ground_station,2026-09-05T06:30:00+00:00,25.0,1.28,0.95
2026-09-06,21.5,33.0,13.0,4.0,11.0,35.83,cpcb,ground_station,2026-09-06T07:30:00+00:00,25.0,0.52,0.95
2026-09-07,19.0,32.5,10.0,5.0,14.5,32.5,cpcb,ground_station,2026-09-07T07:30:00+00:00,24.0,1.03,0.95
2026-09-08,21.0,38.5,11.5,4.5,10.0,38.5,cpcb,ground_station,2026-09-08T07:30:00+00:00,24.0,0.74,0.95
2026-09-09,15.0,38.0,9.5,4.0,11.0,38.0,cpcb,ground_station,2026-09-09T07:30:00+00:00,24.0,0.8,0.95
2026-09-10,19.0,37.0,10.0,4.5,12.5,37.0,cpcb,ground_station,2026-09-10T07:30:00+00:00,25.0,0.79,0.95
2026-09-11,23.0,39.0,12.0,4.5,10.5,39.0,cpcb,ground_station,2026-09-11T07:30:00+00:00,25.0,0.71,0.95
2026-09-12,21.0,37.5,12.5,4.0,13.5,37.5,cpcb,ground_station,2026-09-12T07:30:00+00:00,25.0,0.55,0.95
2026-09-13,20.5,33.5,15.0,4.5,11.5,34.17,cpcb,ground_station,2026-09-13T07:30:00+00:00,23.0,0.96,0.95
2026-09-14,18.0,26.0,18.0,5.0,16.0,30.0,cpcb,ground_station,2026-09-14T08:30:00+00:00,23.0,0.65,0.95
2026-09-15,21.0,33.0,17.5,4.0,13.0,35.0,cpcb,ground_station,2026-09-15T07:30:00+00:00,23.0,1.35,0.95
2026-09-16,19.0,30.0,18.0,5.0,12.0,31.67,cpcb,ground_station,2026-09-16T07:30:00+00:00,24.0,1.25,0.95
