Date,PM2.5,PM10,NO2,SO2,O3,AQI
2026-08-09,268.4,160.75,7.725,6.08,9.666666666666666,268.4
2026-08-10,268.4,160.75,7.725,6.08,9.666666666666666,268.4
2026-08-11,129.0,59.0,6.1,16.2,6.3,129.0
2026-08-12,163.0,91.0,7.3,16.6,5.2,163.0
2026-08-13,24.5,9.1,0.0,0.1,15.9,24.5
2026-08-14,19.0,6.9,0.0,0.1,22.0,22.0
2026-08-15,18.6,6.2,0.0,0.1,19.1,19.1
2026-08-16,13.7,7.0,0.0,0.1,21.7,21.7
2026-08-17,20.3,11.2,0.0,0.1,19.6,20.3
2026-08-18,28.2,8.9,0.0,0.1,13.6,28.2
2026-08-19,28.7,11.5,0.0,0.2,13.5,28.7
2026-08-20,18.7,9.1,0.0,0.1,15.3,18.7
2026-08-21,21.0,11.0,0.0,0.1,15.8,21.0
2026-08-22,27.7,10.7,0.0,0.1,18.4,27.7
